month_of_implementation,donor,reporting_organization_type,implementing_partner_type,state_region,township,village_tract_town,village_ward,idp_camp_site_name,specify_location_if_the_the_location_is_not_in_the_list,location_combined,location_type,rural_or_urban,humanitarian_or_development,response_plan_if_project_under_fts,project_code,fsc_main_activity,activity_description,was_nutrition_mainstreamed_in_activity,fsc_objectives,hrp_indicator,activity_status,conditionality,frequency,delivery_modality,type_of_in_kind_assistance,unit,quantity,total_value,value_per_household,value_per_individual,currency,value_per_household_usd,cash_delivery_mechanism,food_insecurity_status,food_security_indicator_used,evidence,beneficiary_type,number_child_male,number_child_female,number_adult_male,number_adult_female,number_elderly_male,number_elderly_female,number_of_reached_households,number_of_reached_beneficiaries,new_beneficiaries,people_with_disability_male,people_with_disability_female,total_number_of_people_with_disability,comments,cluster_name,country,admin1_pcode,admin2_pcode,admin3_pcode,adm1_3,adm3_4,org_code,report_org_code
March 2022,FCDO,NNGO,NNGO,Kachin,Chipwi,NA,NA,Hpare Hkyer - BP6,NA,"Hpare Hkyer - BP6multi-purpose cash transfer (MPC), moderate",Camp/IDP site,Rural,Humanitarian,Non-HRP,NA,"multi-purpose cash transfer (MPC), moderate",Multi-purpose cash distribution to the HH from Hpare/Bp6 Camp in NGCA.,No,"Objective 2: Over 2,944,000 vulnerable people with humanitarian needs (1,531,000 girls/women and 1,413,000 boys/men) have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance.","Number of vulnerable, non-displaced stateless and returned/resettled/locally integrated people reached with food, nutrition livelihoods interventions",Completed,Unconditional,One-off,CBT/CVA,NA,NA,NA,1660,10,NA,USD,10,Direct cash payment,Food secure,FCS,NA,Internally Displaced,264,275,158,246,19,37,166,999,0,2,4,6,NA,NA,NA,MMR001,NA,MMR001005,Kachin-Chipwi,Chipwi-,org_2807,org_2807
March 2022,FCDO,NA,INGO,Kachin,Waingmaw,NA,NA,Woi Chyai,NA,"Woi Chyai food distributions (in kind/voucher/cash), severe",Camp/IDP site,Rural,Humanitarian,Non-HRP,NA,"food distributions (in kind/voucher/cash), severe","HPA provided rice and cash( in lieu of bean, oil and salt) to 4993 IDPs in Woi Chyai camp in March 2022, the ration cover for 3 months",No,"Objective 1: Over 556,000 crisis-affected people 
(289,000 girls/women and 267,000 boys/men) have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance.","Number of crisis-affected people that have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance",Ongoing,Conditional,Quarterly,Hybrid (In-kind & CBT/CVA),Food Baskets,Kg,202216.5,92120.85000000002,75.69502875924405,18.450000000000003,USD,75.69502875924405,Direct cash payment,Food secure,FCS,"The average food consumption scored by different age and sex disaggregated was 45.55 for Men, 44.99 for women, 49.86 for under 5 years old children, 50.44 for Pregnant and lactating women and 48.16 for older person respectively in Woi chayi camp, whereas over 35 is acceptable level for FCS. (Data collected in July 2021)",Internally Displaced,1149,1123,877,1463,147,234,1217,4993,4993,60,32,92,"Rice=13.5kg/person/month. The cash value (in lieu of rice, bean and oil) distributed by HPA is RMB 40 Yuan/person/month(equal to 6.15 USD/person/month)",FSL,SSD,MMR001,NA,MMR001002,Kachin-Waingmaw,Waingmaw-,org_5911,org_5911
March 2022,FCDO,NA,INGO,Kachin,Momauk,NA,NA,Hpun Lum Yang,NA,"Hpun Lum Yang food distributions (in kind/voucher/cash), severe",Camp/IDP site,Rural,Humanitarian,Non-HRP,NA,"food distributions (in kind/voucher/cash), severe","HPA provided rice and cash( in lieu of bean, oil and salt) to 3041 IDPs in Hpun Lum Yang camp in March 2022, the ration cover for 3 months",No,"Objective 1: Over 556,000 crisis-affected people 
(289,000 girls/women and 267,000 boys/men) have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance.","Number of crisis-affected people that have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance",Ongoing,Conditional,Quarterly,Hybrid (In-kind & CBT/CVA),Food Baskets,Kg,123160.5,56106.45000000001,80.38173352435531,18.450000000000003,USD,80.38173352435531,Direct cash payment,Food secure,FCS,"The average food consumption scored by different age and sex disaggregated in Hpum Lum Yang camp was 42 for Men, 41.59 for women, 48.64 for under 5 years old children, 48.76 for Pregnant and lactating women and 45.01 for older person respectively.(data collected in July 2021)",Internally Displaced,714,694,806,580,102,145,698,3041,3041,40,36,76,"Rice=13.5kg/person/month. The cash value (in lieu of rice, bean and oil) distributed by HPA is RMB 40 Yuan/person/month(equal to 6.15 USD/person/month)",FSL,SSD,MMR001,NA,MMR001012,Kachin-Momauk,Momauk-,org_5911,org_5911
March 2022,CERF,UN agency,NNGO,Chin,Mindat,Hpwi,Am Laung,NA,NA,"HpwiAm Laungprovision of crop, vegetable and seed kits",Village,Rural,Humanitarian,HRP,OSRO/MYA/104/CHA,"provision of crop, vegetable and seed kits","Agri inputs ( 100 g for 5 types of vegetable seeds, 500 g of Waxy Corn, 170,000 MMK of Cash inputs",Yes,"Objective 3: Restore, protect and improve livelihoods and resilience of over 850,000 crisis-affected people (442,000 women and 408,000 men) by rehabilitating agricultural production, protecting productive assets, and rebuilding or creating income-generating activities to prevent negative (and potentially irreversible) coping mechanisms.","Number of vulnerable, non-displaced stateless and returned/resettled/locally integrated people reached with food, nutrition livelihoods interventions",Completed,Unconditional,One-off,In-kind,Agricultural inputs,Kg,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,Host/local Community,49,35,34,42,NA,NA,29,160,160,5,1,6,NA,FSL,SSD,MMR004,NA,MMR004006,Chin-Mindat,Mindat-Hpwi,org_6130,org_8415
March 2022,CERF,UN agency,NNGO,Chin,Mindat,Khawilung,Khawilung,NA,NA,"KhawilungKhawilungprovision of crop, vegetable and seed kits",Village,Rural,Humanitarian,HRP,OSRO/MYA/104/CHA,"provision of crop, vegetable and seed kits","Agri inputs ( 100 g for 5 types of vegetable seeds, 500 g of Waxy Corn, 170,000 MMK of Cash inputs",Yes,"Objective 3: Restore, protect and improve livelihoods and resilience of over 850,000 crisis-affected people (442,000 women and 408,000 men) by rehabilitating agricultural production, protecting productive assets, and rebuilding or creating income-generating activities to prevent negative (and potentially irreversible) coping mechanisms.","Number of vulnerable, non-displaced stateless and returned/resettled/locally integrated people reached with food, nutrition livelihoods interventions",Completed,Unconditional,One-off,In-kind,Agricultural inputs,Kg,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,Host/local Community,53,65,66,81,NA,NA,29,265,265,0,3,3,NA,FSL,SSD,MMR004,NA,MMR004006,Chin-Mindat,Mindat-Khawilung,org_6130,org_8415
March 2022,CERF,UN agency,NNGO,Chin,Mindat,Khawilung,Loke Shel,NA,NA,"KhawilungLoke Shelprovision of crop, vegetable and seed kits",Village,Rural,Humanitarian,HRP,OSRO/MYA/104/CHA,"provision of crop, vegetable and seed kits","Agri inputs ( 100 g for 5 types of vegetable seeds, 500 g of Waxy Corn, 170,000 MMK of Cash inputs",Yes,"Objective 3: Restore, protect and improve livelihoods and resilience of over 850,000 crisis-affected people (442,000 women and 408,000 men) by rehabilitating agricultural production, protecting productive assets, and rebuilding or creating income-generating activities to prevent negative (and potentially irreversible) coping mechanisms.","Number of vulnerable, non-displaced stateless and returned/resettled/locally integrated people reached with food, nutrition livelihoods interventions",Completed,Unconditional,One-off,In-kind,Agricultural inputs,Kg,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,Host/local Community,26,20,34,37,NA,NA,16,117,117,3,1,4,NA,NA,NA,MMR004,NA,MMR004006,Chin-Mindat,Mindat-Khawilung,org_6130,org_8415
March 2022,CERF,UN agency,NNGO,Chin,Mindat,Khawilung,Shit Hmway,NA,NA,"KhawilungShit Hmwayprovision of crop, vegetable and seed kits",Village,Rural,Humanitarian,HRP,OSRO/MYA/104/CHA,"provision of crop, vegetable and seed kits","Agri inputs ( 100 g for 5 types of vegetable seeds, 500 g of Waxy Corn, 170,000 MMK of Cash inputs",Yes,"Objective 3: Restore, protect and improve livelihoods and resilience of over 850,000 crisis-affected people (442,000 women and 408,000 men) by rehabilitating agricultural production, protecting productive assets, and rebuilding or creating income-generating activities to prevent negative (and potentially irreversible) coping mechanisms.","Number of vulnerable, non-displaced stateless and returned/resettled/locally integrated people reached with food, nutrition livelihoods interventions",Completed,Unconditional,One-off,In-kind,Agricultural inputs,Kg,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,Host/local Community,50,50,63,62,NA,NA,21,225,225,6,1,7,NA,NA,NA,MMR004,NA,MMR004006,Chin-Mindat,Mindat-Khawilung,org_6130,org_8415
March 2022,CERF,UN agency,NNGO,Chin,Mindat,Kihta,M'hto,NA,NA,"KihtaM'htoprovision of crop, vegetable and seed kits",Village,Rural,Humanitarian,HRP,OSRO/MYA/104/CHA,"provision of crop, vegetable and seed kits","Agri inputs ( 100 g for 5 types of vegetable seeds, 500 g of Waxy Corn, 170,000 MMK of Cash inputs",Yes,"Objective 3: Restore, protect and improve livelihoods and resilience of over 850,000 crisis-affected people (442,000 women and 408,000 men) by rehabilitating agricultural production, protecting productive assets, and rebuilding or creating income-generating activities to prevent negative (and potentially irreversible) coping mechanisms.","Number of vulnerable, non-displaced stateless and returned/resettled/locally integrated people reached with food, nutrition livelihoods interventions",Completed,Unconditional,One-off,In-kind,Agricultural inputs,Kg,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,Host/local Community,36,44,26,17,NA,NA,27,123,123,3,2,5,NA,NA,NA,MMR004,NA,MMR004006,Chin-Mindat,Mindat-Kihta,org_6130,org_8415
March 2022,CERF,UN agency,NNGO,Chin,Mindat,Lailawnghtui,Shet,NA,NA,"LailawnghtuiShetprovision of crop, vegetable and seed kits",Village,Rural,Humanitarian,HRP,OSRO/MYA/104/CHA,"provision of crop, vegetable and seed kits","Agri inputs ( 100 g for 5 types of vegetable seeds, 500 g of Waxy Corn, 170,000 MMK of Cash inputs",Yes,"Objective 3: Restore, protect and improve livelihoods and resilience of over 850,000 crisis-affected people (442,000 women and 408,000 men) by rehabilitating agricultural production, protecting productive assets, and rebuilding or creating income-generating activities to prevent negative (and potentially irreversible) coping mechanisms.","Number of vulnerable, non-displaced stateless and returned/resettled/locally integrated people reached with food, nutrition livelihoods interventions",Completed,Unconditional,One-off,In-kind,Agricultural inputs,Kg,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,Host/local Community,44,27,47,42,NA,NA,35,160,160,4,3,7,NA,NA,NA,MMR004,NA,MMR004006,Chin-Mindat,Mindat-Lailawnghtui,org_6130,org_8415
March 2022,CERF,UN agency,NNGO,Chin,Mindat,Lailawnghtui,Yayaw,NA,NA,"LailawnghtuiYayawprovision of crop, vegetable and seed kits",Village,Rural,Humanitarian,HRP,OSRO/MYA/104/CHA,"provision of crop, vegetable and seed kits","Agri inputs ( 100 g for 5 types of vegetable seeds, 500 g of Waxy Corn, 170,000 MMK of Cash inputs",Yes,"Objective 3: Restore, protect and improve livelihoods and resilience of over 850,000 crisis-affected people (442,000 women and 408,000 men) by rehabilitating agricultural production, protecting productive assets, and rebuilding or creating income-generating activities to prevent negative (and potentially irreversible) coping mechanisms.","Number of vulnerable, non-displaced stateless and returned/resettled/locally integrated people reached with food, nutrition livelihoods interventions",Completed,Unconditional,One-off,In-kind,Agricultural inputs,Kg,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,Host/local Community,58,47,30,27,NA,NA,40,162,162,2,2,4,NA,NA,NA,MMR004,NA,MMR004006,Chin-Mindat,Mindat-Lailawnghtui,org_6130,org_8415
March 2022,CERF,UN agency,NNGO,Chin,Mindat,M'dat,Dar Taw,NA,NA,"M'datDar Tawprovision of crop, vegetable and seed kits",Village,Rural,Humanitarian,HRP,OSRO/MYA/104/CHA,"provision of crop, vegetable and seed kits","Agri inputs ( 100 g for 5 types of vegetable seeds, 500 g of Waxy Corn, 170,000 MMK of Cash inputs",Yes,"Objective 3: Restore, protect and improve livelihoods and resilience of over 850,000 crisis-affected people (442,000 women and 408,000 men) by rehabilitating agricultural production, protecting productive assets, and rebuilding or creating income-generating activities to prevent negative (and potentially irreversible) coping mechanisms.","Number of vulnerable, non-displaced stateless and returned/resettled/locally integrated people reached with food, nutrition livelihoods interventions",Completed,Unconditional,One-off,In-kind,Agricultural inputs,Kg,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,Host/local Community,21,41,25,32,NA,NA,18,119,119,1,0,1,NA,NA,NA,MMR004,NA,MMR004006,Chin-Mindat,Mindat-M'dat,org_6130,org_8415
March 2022,CERF,UN agency,NNGO,Chin,Mindat,M'dat,M'dat,NA,NA,"M'datM'datprovision of crop, vegetable and seed kits",Village,Rural,Humanitarian,HRP,OSRO/MYA/104/CHA,"provision of crop, vegetable and seed kits","Agri inputs ( 100 g for 5 types of vegetable seeds, 500 g of Waxy Corn, 170,000 MMK of Cash inputs",Yes,"Objective 3: Restore, protect and improve livelihoods and resilience of over 850,000 crisis-affected people (442,000 women and 408,000 men) by rehabilitating agricultural production, protecting productive assets, and rebuilding or creating income-generating activities to prevent negative (and potentially irreversible) coping mechanisms.","Number of vulnerable, non-displaced stateless and returned/resettled/locally integrated people reached with food, nutrition livelihoods interventions",Completed,Unconditional,One-off,In-kind,Agricultural inputs,Kg,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,Host/local Community,150,122,104,105,NA,NA,59,481,481,0,9,9,NA,NA,NA,MMR004,NA,MMR004006,Chin-Mindat,Mindat-M'dat,org_6130,org_8415
March 2022,CERF,UN agency,NNGO,Chin,Mindat,M'dat,Pu Koen,NA,NA,"M'datPu Koenprovision of crop, vegetable and seed kits",Village,Rural,Humanitarian,HRP,OSRO/MYA/104/CHA,"provision of crop, vegetable and seed kits","Agri inputs ( 100 g for 5 types of vegetable seeds, 500 g of Waxy Corn, 170,000 MMK of Cash inputs",Yes,"Objective 3: Restore, protect and improve livelihoods and resilience of over 850,000 crisis-affected people (442,000 women and 408,000 men) by rehabilitating agricultural production, protecting productive assets, and rebuilding or creating income-generating activities to prevent negative (and potentially irreversible) coping mechanisms.","Number of vulnerable, non-displaced stateless and returned/resettled/locally integrated people reached with food, nutrition livelihoods interventions",Completed,Unconditional,One-off,In-kind,Agricultural inputs,Kg,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,Host/local Community,61,58,70,67,NA,NA,47,256,256,7,4,11,NA,NA,NA,MMR004,NA,MMR004006,Chin-Mindat,Mindat-M'dat,org_6130,org_8415
March 2022,CERF,UN agency,NNGO,Chin,Mindat,M'ghinghlaw,M'ghinghlaw,NA,NA,"M'ghinghlawM'ghinghlawprovision of crop, vegetable and seed kits",Village,Rural,Humanitarian,HRP,OSRO/MYA/104/CHA,"provision of crop, vegetable and seed kits","Agri inputs ( 100 g for 5 types of vegetable seeds, 500 g of Waxy Corn, 170,000 MMK of Cash inputs",Yes,"Objective 3: Restore, protect and improve livelihoods and resilience of over 850,000 crisis-affected people (442,000 women and 408,000 men) by rehabilitating agricultural production, protecting productive assets, and rebuilding or creating income-generating activities to prevent negative (and potentially irreversible) coping mechanisms.","Number of vulnerable, non-displaced stateless and returned/resettled/locally integrated people reached with food, nutrition livelihoods interventions",Completed,Unconditional,One-off,In-kind,Agricultural inputs,Kg,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,Host/local Community,95,112,136,131,NA,NA,57,474,474,6,5,11,NA,NA,NA,MMR004,NA,MMR004006,Chin-Mindat,Mindat-M'ghinghlaw,org_6130,org_8415
March 2022,CERF,UN agency,NNGO,Chin,Mindat,M'ghinghlaw,Hpa Yar Sa Khan,NA,NA,"M'ghinghlawHpa Yar Sa Khanprovision of crop, vegetable and seed kits",Village,Rural,Humanitarian,HRP,OSRO/MYA/104/CHA,"provision of crop, vegetable and seed kits","Agri inputs ( 100 g for 5 types of vegetable seeds, 500 g of Waxy Corn, 170,000 MMK of Cash inputs",Yes,"Objective 3: Restore, protect and improve livelihoods and resilience of over 850,000 crisis-affected people (442,000 women and 408,000 men) by rehabilitating agricultural production, protecting productive assets, and rebuilding or creating income-generating activities to prevent negative (and potentially irreversible) coping mechanisms.","Number of vulnerable, non-displaced stateless and returned/resettled/locally integrated people reached with food, nutrition livelihoods interventions",Completed,Unconditional,One-off,In-kind,Agricultural inputs,Kg,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,Host/local Community,47,29,62,52,NA,NA,23,190,190,4,4,8,NA,NA,NA,MMR004,NA,MMR004006,Chin-Mindat,Mindat-M'ghinghlaw,org_6130,org_8415
